"","SPX","NKY","KOSPI","HSI","TWSE","UKX","AS51"
"2022-05-23",0.000359124735214182,0.000153942803152576,0.000113616548621204,0.000310940621464555,0.00010652553446663,0.000152058736357842,6.82187790216651e-05
"2022-05-24",0.000322178668473395,0.000178538657347321,0.00015260338539021,0.000350101103764901,0.000122458292648518,0.000142127662288963,7.43007580842107e-05
"2022-05-25",0.000292122291495661,0.000161933065326243,0.000145346299718742,0.000325147506549861,0.000124358269049255,0.000133521938958826,7.11422281951465e-05
"2022-05-26",0.00030245852106536,0.000152991449246193,0.000137298179437893,0.000304040826670431,0.000125271893807042,0.000122452114156605,7.39875138980245e-05
"2022-05-27",0.000338174052668498,0.000140651848778186,0.00012748841862589,0.00030402145494808,0.000126369100710979,0.000112372009382968,6.79848632841687e-05
"2022-05-31",0.000300184610613369,0.000136027459384301,0.000126038619696101,0.000332541225558839,0.000158997670474461,0.000104363193653243,6.2824849715117e-05
"2022-06-01",0.000273130286315856,0.000136207530856097,0.000117375623508344,0.000306954324730118,0.000152150680107794,0.000100081863262054,6.10173968495608e-05
"2022-06-02",0.000274002738417786,0.000126348975357697,0.000111572257371183,0.00028556152285857,0.000144125487283651,9.14461792547713e-05,5.72003828901138e-05
"2022-06-03",0.000268062107969675,0.000117002139591397,0.000104258448856565,0.000270620655805863,0.000137432105271774,8.73145471594993e-05,5.27110324553726e-05
"2022-06-06",0.00023721201573249,0.000127589187206517,0.000100242744985137,0.000342315698431691,0.000133548944962117,0.000102462550370738,4.91798398190837e-05
"2022-06-07",0.00021953489970628,0.000116948374948322,0.000122805423517522,0.000319101149292187,0.0001304728430166,9.35942714332732e-05,7.59943622344382e-05
"2022-06-08",0.000207110639936981,0.000110194181016606,0.000115650221467911,0.000315860662873823,0.000125084305708247,8.77332218866031e-05,7.01146308361804e-05
"2022-06-09",0.000251972847869575,0.000106039435547964,0.000108621707499477,0.000291690760781246,0.000117599128732059,9.33360418149403e-05,7.24519808162373e-05
"2022-06-10",0.000339840728441383,9.80365868951415e-05,0.000101194341250691,0.000274752290547211,0.000110842977747044,0.000110317020705179,6.8265658958388e-05
"2022-06-13",0.000499221971132259,0.000112464494614067,0.000138408757554572,0.000283018156655928,0.000117020791591315,0.00010977571993559,7.25218313857142e-05
